'name', 'addr', '外卖', '图片', '好评', '中评', '差评', '口味', '环境', '服务', 'price'
肯德基(控江路鞍山店),控江路2056号一层04号商铺,1.0,47.0,48.0,13.0,5.0,7.4,7.8,7.6, 25 
肯德基(福州店),福州路556号,1.0,447.0,524.0,182.0,54.0,7.8,7.6,7.7, 31 
肯德基(中华店),中华路1405号,1.0,130.0,191.0,78.0,36.0,7.4,7.3,7.2, 27 
肯德基(飞洲国际店),零陵路899号飞洲国际广场地下一层B1-33号商铺,0.0,128.0,126.0,25.0,22.0,7.8,7.9,7.5, 26 
肯德基(浦南店),浦东南路800号,1.0,214.0,256.0,100.0,56.0,7.5,7.4,7.2, 34 
肯德基(吴泾店),宝秀路667号,1.0,44.0,119.0,29.0,17.0,8.0,7.9,8.0, 30 
肯德基(松江新城店),新松江路935号,1.0,73.0,98.0,24.0,13.0,7.9,7.8,7.6, 30 
肯德基(虬江店),虬江路760号,1.0,74.0,120.0,60.0,24.0,7.5,7.2,7.2, 29 
肯德基(和平店),西藏中路290号,0.0,399.0,449.0,232.0,83.0,7.5,7.5,7.3, 28 
肯德基(高青店),长清路1200弄1号1号商铺,1.0,104.0,138.0,50.0,30.0,7.4,7.3,7.3, 31 
肯德基(东江湾店),东江湾路444号5号门小白楼101室一层,1.0,186.0,269.0,147.0,54.0,7.3,7.3,7.2, 24 
肯德基(丽园店),西藏南路1118号1，2层,1.0,134.0,213.0,58.0,43.0,7.5,7.7,7.4, 31 
肯德基(塘桥店),浦建路15号,1.0,128.0,198.0,56.0,43.0,7.4,7.6,7.6, 30 
肯德基(八佰伴精选店),张扬路501号一层,0.0,24.0,27.0,4.0,0.0,7.8,7.8,7.9, 33 
肯德基(张江高科店),碧波路635号,1.0,110.0,294.0,176.0,51.0,7.0,6.9,6.7, 30 
肯德基(东方店),"东方路1688号103室,202室",0.0,97.0,149.0,46.0,39.0,7.2,7.4,7.3, 35 
